Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Kilometers_Driven_Per_Year,Current_Age
20,BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995.0,190.0,5.0,47.87,18.55,False,False,False,3298.2,10
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65,1248.0,88.5,5.0,20.89221804511278,8.25,False,False,True,6154.666666666667,9
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,13.53,1984.0,177.01,5.0,20.89221804511278,23.5,False,True,False,6220.555555555556,9
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,18.5,1197.0,80.0,5.0,20.89221804511278,1.87,False,True,True,3271.9285714285716,14
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4,1598.0,103.6,5.0,20.89221804511278,2.85,False,True,False,2357.1428571428573,14
25,Honda City Corporate Edition,Mumbai,2012,51920,First,16.8,1497.0,116.3,5.0,20.89221804511278,4.25,False,True,True,4326.666666666667,12
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,First,16.48,1461.0,63.1,5.0,20.89221804511278,4.25,False,False,True,4500.0,12
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998.0,67.1,5.0,20.89221804511278,2.75,False,True,True,4909.090909090909,11
28,Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199.0,88.7,5.0,10.57,9.9,False,True,True,6238.333333333333,6
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8,2494.0,102.0,7.0,20.89221804511278,4.0,False,False,True,15411.764705882353,17
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01,1461.0,108.45,5.0,20.89221804511278,7.75,False,False,True,5636.363636363636,11
31,Toyota Corolla Altis G,Delhi,2012,87615,First,14.53,1798.0,138.1,5.0,20.89221804511278,6.75,False,True,True,7301.25,12
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18,2696.0,184.0,7.0,20.89221804511278,12.5,False,False,False,6545.454545454545,11
33,Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4,2698.0,179.5,5.0,20.89221804511278,11.5,False,False,False,2500.0,14
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598.0,103.5,5.0,12.33,6.98,False,True,True,5543.1,10
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0,1061.0,64.0,5.0,20.89221804511278,1.85,False,True,True,5587.733333333334,15
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248.0,88.5,5.0,11.12,8.63,False,False,True,8345.833333333334,6
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15,1198.0,82.0,5.0,20.89221804511278,4.85,False,True,True,7428.571428571428,7
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74,2987.0,254.8,5.0,20.89221804511278,28.0,False,False,False,7727.272727272727,11
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199.0,73.9,5.0,20.89221804511278,5.0,False,False,True,5636.363636363636,11
40,Maruti Alto LXi,Delhi,2008,90000,Second,19.7,796.0,46.3,5.0,20.89221804511278,1.25,False,True,True,5625.0,16
41,Tata Nano LX SE,Kochi,2014,19698,First,25.4,624.0,37.5,4.0,20.89221804511278,1.53,False,True,True,1969.8,10
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198.0,77.0,6.0,20.89221804511278,5.58,False,False,True,3147.5714285714284,7
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5,1197.0,82.9,5.0,20.89221804511278,4.74,False,True,True,3548.7,10
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999.0,149.92,5.0,23.64,8.85,False,True,False,4637.4,10
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28,1798.0,138.03,5.0,20.89221804511278,10.11,False,True,False,6500.125,8
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9,1991.0,112.2,5.0,20.89221804511278,4.25,False,False,True,3625.3125,16
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694.0,163.7,7.0,18.64,10.95,False,True,True,5892.0,12
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120.0,71.0,5.0,20.89221804511278,3.85,False,False,True,7500.0,10
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,16.55,2498.0,105.0,6.0,20.89221804511278,5.5,False,False,True,6316.666666666667,12
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,17.11,1968.0,174.33,5.0,20.89221804511278,21.43,False,False,False,1516.4444444444443,9
51,Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248.0,74.0,5.0,20.89221804511278,4.25,False,False,True,5200.0,10
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,17.8,1248.0,75.0,5.0,20.89221804511278,3.3,False,False,True,5300.0,10
53,Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248.0,74.0,5.0,20.89221804511278,3.85,False,False,True,5968.181818181818,11
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,18.9,1197.0,82.0,5.0,20.89221804511278,3.6,False,True,True,6000.0,9
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,15.04,1598.0,103.2,5.0,20.89221804511278,3.99,False,True,True,4333.333333333333,9
56,Renault KWID RXT,Kochi,2017,16542,First,25.17,799.0,53.3,5.0,20.89221804511278,3.3,False,True,True,2363.1428571428573,7
57,Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197.0,78.9,5.0,20.89221804511278,2.07,False,True,True,2285.714285714286,14
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,9.49,1995.0,147.6,5.0,20.89221804511278,7.75,False,False,False,8700.857142857143,14
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,18.2,998.0,67.1,5.0,20.89221804511278,2.25,False,True,True,2807.1428571428573,14
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393.0,147.8,8.0,19.34,16.5,False,False,True,3142.8571428571427,7
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,First,20.0,1399.0,68.0,5.0,20.89221804511278,2.75,False,False,True,5142.857142857143,14
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,11.74,1796.0,186.0,5.0,20.89221804511278,26.7,False,True,False,6444.444444444444,9
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,15.8,2148.0,170.0,5.0,20.89221804511278,10.0,False,False,True,5000.0,13
64,Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396.0,69.0,5.0,20.89221804511278,2.5,False,False,True,22250.0,8
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,16.55,1968.0,140.0,5.0,20.89221804511278,13.5,False,False,False,5472.0,12
66,Honda City ZX CVT,Mumbai,2007,63000,Second,16.4,1497.0,78.0,5.0,20.89221804511278,1.85,False,True,False,3705.8823529411766,17
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,18.283619293712317,1950.0,194.0,5.0,49.14,35.67,False,False,False,3073.8,5
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248.0,88.5,7.0,20.89221804511278,8.15,False,False,True,7875.0,8
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,11.81,10.5,False,False,True,2166.6666666666665,6
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,8.5,4806.0,500.0,5.0,20.89221804511278,14.5,False,True,False,4562.5,16
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,15.1,2179.0,140.0,7.0,20.89221804511278,9.65,False,False,True,6192.111111111111,9
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,16.95,1197.0,78.9,5.0,20.89221804511278,3.48,False,True,False,3764.8333333333335,12
73,Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461.0,108.5,5.0,16.65,6.92,False,False,True,6229.555555555556,9
74,Honda Brio VX AT,Coimbatore,2016,37300,Second,16.5,1198.0,86.8,5.0,20.89221804511278,6.46,False,True,False,4662.5,8
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,18.53,1968.0,187.74,5.0,20.89221804511278,29.5,False,False,False,5600.0,10
77,Toyota Innova 2.0 G1,Chennai,2006,230000,Third,12.4,1998.0,132.0,8.0,20.89221804511278,4.5,False,True,True,12777.777777777777,18
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,12.8,2494.0,102.0,7.0,20.89221804511278,11.75,False,False,True,8666.666666666666,12
80,Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248.0,74.0,5.0,20.89221804511278,3.75,False,False,True,7925.0,12
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193.0,88.7,5.0,6.67,4.5,False,True,True,10000.0,7
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,First,18.0,1198.0,86.7,5.0,20.89221804511278,4.82,False,True,True,6868.0,8
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,20.0,1399.0,68.0,5.0,20.89221804511278,2.8,False,False,True,5861.416666666667,12
84,Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248.0,73.94,5.0,20.89221804511278,3.11,False,False,True,9058.0,11
85,Honda City i VTEC E,Delhi,2009,52000,First,17.8,1497.0,117.3,5.0,20.89221804511278,3.25,False,True,True,3466.6666666666665,15
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,16.73,1995.0,218.0,5.0,20.89221804511278,13.9,False,False,False,5769.2307692307695,13
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197.0,78.9,5.0,20.89221804511278,2.25,False,True,True,6398.666666666667,15
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,18.9,1197.0,82.0,5.0,20.89221804511278,5.75,False,True,True,2000.0,8
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,17.8,1198.0,86.7,5.0,20.89221804511278,5.0,False,True,True,2368.625,8
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,13.0,2982.0,168.5,7.0,20.89221804511278,16.5,False,False,True,10700.0,10
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,17.68,1968.0,174.33,5.0,20.89221804511278,39.58,False,False,False,8061.166666666667,6
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498.0,89.84,5.0,20.89221804511278,5.5,False,False,True,5181.818181818182,11
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,15.1,2179.0,140.0,7.0,20.89221804511278,8.1,False,False,True,5800.0,10
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498.0,98.6,5.0,20.89221804511278,3.5,False,False,True,3333.3333333333335,9
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199.0,73.9,5.0,20.89221804511278,2.79,False,False,True,3110.181818181818,11
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,16.2,1493.0,110.0,5.0,20.89221804511278,3.45,False,False,True,5000.142857142857,14
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,18.9,998.0,67.1,5.0,20.89221804511278,4.45,False,True,True,7750.0,8
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,15.26,1598.0,103.5,5.0,20.89221804511278,2.65,False,True,True,4428.642857142857,14
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396.0,90.0,5.0,20.89221804511278,3.8,False,False,True,6073.692307692308,13
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,18.5,1197.0,82.85,5.0,20.89221804511278,4.65,False,True,True,3018.0,10
102,Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198.0,67.0,7.0,6.45,3.95,False,True,True,4693.0,7
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,14.94,2967.0,241.4,5.0,20.89221804511278,9.8,False,False,False,2142.8571428571427,14
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,17.0,1197.0,80.0,5.0,20.89221804511278,2.7,False,True,True,4400.0,15
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,14.0,796.0,35.0,5.0,20.89221804511278,2.41,False,True,True,6703.571428571428,14
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197.0,78.9,5.0,6.41,3.9,False,True,True,5300.0,10
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,14.74,2993.0,270.9,5.0,20.89221804511278,24.0,False,False,False,6000.0,13
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,16.0,2179.0,140.0,7.0,20.89221804511278,5.75,False,False,True,5416.666666666667,12
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582.0,126.32,5.0,20.89221804511278,5.25,False,False,False,4000.0,10
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755.0,171.5,7.0,27.0,19.25,False,False,False,4285.714285714285,7
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196.0,73.0,5.0,5.13,3.91,False,True,True,5436.142857142857,7
112,Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624.0,37.5,4.0,20.89221804511278,2.15,False,True,True,2550.0,10
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995.0,190.0,5.0,54.43,20.75,False,False,False,6231.888888888889,9
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,13.5,1799.0,130.0,5.0,20.89221804511278,3.35,False,True,True,5077.714285714285,14
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,12.99,2494.0,100.6,7.0,20.89221804511278,11.11,False,False,True,5500.0,10
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984.0,150.0,5.0,20.89221804511278,20.0,False,False,False,3270.0,10
117,Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198.0,75.94,5.0,9.51,6.55,False,True,False,4985.25,8
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,10.8,2497.0,215.0,5.0,20.89221804511278,7.0,False,True,False,8533.333333333334,15
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248.0,88.5,5.0,9.96,7.5,False,False,True,6875.0,8
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,15.0,2143.0,107.3,5.0,20.89221804511278,16.75,False,False,False,5375.3,10
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582.0,126.2,5.0,14.44,10.95,False,False,True,1708.3333333333333,6
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,First,18.9,998.0,67.1,5.0,20.89221804511278,2.45,False,True,True,3374.923076923077,13
124,Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624.0,37.48,4.0,20.89221804511278,3.23,False,True,False,4669.142857142857,7
125,Mahindra Scorpio VLX,Kolkata,2014,42000,First,12.05,2179.0,120.0,8.0,20.89221804511278,7.75,False,False,True,4200.0,10
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,11.7,1796.0,178.0,5.0,20.89221804511278,9.35,False,True,False,1890.1333333333334,15
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,10.8,2354.0,152.0,5.0,20.89221804511278,5.25,False,True,True,2805.8823529411766,17
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498.0,103.2,5.0,20.89221804511278,7.25,False,False,False,6111.111111111111,9
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373.0,91.1,5.0,20.89221804511278,7.47,False,True,True,6326.428571428572,7
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,16.0,2179.0,140.0,7.0,20.89221804511278,13.25,False,False,False,6750.0,8
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197.0,85.8,5.0,20.89221804511278,5.81,False,True,True,3779.0,8
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998.0,67.1,5.0,4.53,2.6,False,True,True,8850.0,10
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996.0,362.07,2.0,95.04,54.0,False,True,False,1910.2857142857142,7
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591.0,121.3,5.0,13.49,11.5,False,True,False,2529.0,5
136,Maruti Alto LXi BSIII,Chennai,2010,94385,Second,19.7,796.0,46.3,5.0,20.89221804511278,1.6,False,True,True,6741.785714285715,14
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995.0,143.0,5.0,20.89221804511278,17.22,False,False,False,3535.6666666666665,9
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,19.0,1199.0,88.7,5.0,20.89221804511278,6.0,False,True,False,1333.3333333333333,9
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,13.5,1799.0,130.0,5.0,20.89221804511278,3.95,False,True,True,7381.5,12
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,19.27,2143.0,170.0,5.0,20.89221804511278,17.95,False,False,False,4496.5,10
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498.0,98.6,5.0,20.89221804511278,3.7,False,False,True,4504.4,10
142,Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197.0,81.8,5.0,20.89221804511278,5.43,False,True,True,4275.5,8
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,11.5,2982.0,171.0,7.0,20.89221804511278,13.49,False,False,True,7602.916666666667,12
145,Chevrolet Beat LT Option,Pune,2014,38800,First,18.6,1199.0,76.8,5.0,20.89221804511278,2.85,False,True,True,3880.0,10
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498.0,103.52,5.0,20.89221804511278,4.75,False,False,True,7545.454545454545,11
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373.0,91.1,5.0,20.89221804511278,9.9,False,True,True,6880.5,6
148,Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894.0,444.0,4.0,20.89221804511278,37.0,False,True,False,2090.909090909091,11
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995.0,190.0,5.0,60.88,26.5,False,False,False,4800.0,10
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,17.11,1968.0,174.33,5.0,20.89221804511278,23.32,False,False,False,5357.111111111111,9
151,Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248.0,74.0,5.0,20.89221804511278,6.25,False,False,True,4375.0,8
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,7.81,5461.0,362.9,5.0,20.89221804511278,30.0,False,True,False,2519.785714285714,14
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498.0,103.52,5.0,20.89221804511278,9.86,False,False,False,6827.5,8
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,17.2,1968.0,138.1,5.0,20.89221804511278,8.5,False,False,False,11416.416666666666,12
155,Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814.0,55.2,5.0,20.89221804511278,4.23,False,True,True,2864.4,5
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199.0,73.9,5.0,20.89221804511278,3.5,False,False,True,5469.5,12
157,Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198.0,67.06,5.0,20.89221804511278,2.5,False,True,True,750.0,8
158,Honda Brio S MT,Kolkata,2013,33280,First,19.4,1198.0,86.8,5.0,20.89221804511278,2.39,False,True,True,3025.4545454545455,11
159,Mercedes-Benz B Class B180,Delhi,2013,29000,First,14.8,1595.0,120.7,5.0,20.89221804511278,11.25,False,True,False,2636.3636363636365,11
160,Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498.0,98.6,5.0,20.89221804511278,7.11,False,False,True,4759.0,9
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,12.99,2494.0,100.6,7.0,20.89221804511278,10.9,False,False,True,11250.0,8
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197.0,81.8,5.0,20.89221804511278,6.2,False,True,True,3429.285714285714,7
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,15.1,2179.0,140.0,7.0,20.89221804511278,7.9,False,False,True,2732.6666666666665,12
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498.0,89.84,5.0,20.89221804511278,4.42,False,False,True,14789.8,10
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,13.0,2982.0,168.5,7.0,20.89221804511278,13.5,False,False,True,10980.416666666666,12
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498.0,108.5,5.0,20.89221804511278,6.25,False,False,False,5909.090909090909,11
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,20.0,1399.0,68.0,5.0,20.89221804511278,2.1,False,False,True,4723.071428571428,14
168,BMW X5 xDrive 30d,Mumbai,2015,41000,First,15.3,2993.0,258.0,5.0,20.89221804511278,45.0,False,False,False,4555.555555555556,9
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,19.27,2143.0,167.62,5.0,20.89221804511278,33.66,False,False,False,3364.285714285714,7
170,Honda Brio V MT,Bangalore,2012,45000,Second,19.4,1198.0,86.8,5.0,20.89221804511278,3.65,False,True,True,3750.0,12
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,First,20.36,1197.0,78.9,5.0,20.89221804511278,2.75,False,True,True,5454.545454545455,11
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,First,17.9,2143.0,170.0,5.0,20.89221804511278,42.5,False,False,False,5551.75,8
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,18.9,1197.0,81.86,5.0,7.39,6.5,False,True,True,200.0,5
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,17.68,1968.0,174.33,5.0,20.89221804511278,19.0,False,False,False,5208.333333333333,12
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,14.4,1598.0,103.6,5.0,20.89221804511278,4.45,False,True,False,1909.090909090909,11
176,Mini Countryman Cooper D,Jaipur,2017,8525,Second,16.6,1998.0,112.0,5.0,20.89221804511278,23.0,False,False,False,1217.857142857143,7
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,22.54,1396.0,88.73,5.0,20.89221804511278,8.35,False,False,True,2900.0,10
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,17.68,1968.0,174.33,5.0,20.89221804511278,22.95,False,False,False,4000.0,10
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,25.44,936.0,57.6,5.0,20.89221804511278,1.5,False,False,True,7333.333333333333,12
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,First,13.7,1798.0,157.75,5.0,20.89221804511278,6.89,False,True,False,4461.416666666667,12
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Second,17.8,1399.0,68.0,5.0,20.89221804511278,1.45,False,False,True,12000.0,18
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,22.48,1995.0,190.0,5.0,69.47,33.5,False,False,False,5100.0,10
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,First,12.9,1598.0,102.5,5.0,20.89221804511278,1.25,False,True,True,6970.588235294118,17
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,First,22.07,1199.0,73.9,5.0,20.89221804511278,4.2,False,False,True,5250.0,12
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,First,19.98,1461.0,108.5,8.0,20.89221804511278,6.75,False,False,True,2777.777777777778,9
